Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
Sissy,(I) (2022),"Comedy,Drama,Horror","Teen best friends Cecilia and Emma, run into each other after a decade. Cecilia is invited to Emma's bachelorette weekend where she gets stuck in a remote cabin with her high school bully and a taste for revenge.","https://m.media-amazon.com/images/M/MV5BZmQ2OTA1MzctZmE3Zi00ODRlLWE2YzQtYjRkNTY4NWQxOGJjXkEyXkFqcGdeQXVyMjYwNjIyOTM@._V1_UX67_CR0,0,67,98_AL_.jpg",9602472,https://www.imdb.com/title/tt9602472/,102 min,NA,"3,816",6.2
Regular Show,(2009–2017),"Animation,Action,Adventure",The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,"https://m.media-amazon.com/images/M/MV5BNWJjZjQ5NWUtMTkwZC00NGY2LWEyMDEtMGIyZThkMmMyZTZlXkEyXkFqcGdeQXVyMTI2MzY3NTA3._V1_UX67_CR0,0,67,98_AL_.jpg",1710308,https://www.imdb.com/title/tt1710308/,23 min,UA,"47,006",8.5
George Lopez,(2002–2007),"Comedy,Drama",Comedian George Lopez stars as a Los Angeles manufacturing plant manager attempting to deal with his wacky family along with random mishaps.,"https://m.media-amazon.com/images/M/MV5BZGZiZjI2M2QtODRhNy00Y2IyLTlmM2YtYmFmM2FkNjU3ZDM0XkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_UY98_CR2,0,67,98_AL_.jpg",0310460,https://www.imdb.com/title/tt0310460/,30 min,NA,"12,384",6.8
The Other Guys,(2010),"Action,Comedy,Crime","Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.","https://m.media-amazon.com/images/M/MV5BMDlhZDQ5NDUtNDcwMi00MTQ5LTk1Y2UtYjNmMjgzNzNhNzU3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",1386588,https://www.imdb.com/title/tt1386588/,107 min,A,"272,822",6.6
The Last of Us Fan Film,(2013),"Short,Action,Adventure","After a run in with hunters, Joel and Ellie must find a way to safety and continue on their journey to the Fireflies.","https://m.media-amazon.com/images/M/MV5BMTFjNTIzMzYtMWM3OS00M2Y2LWI2MGEtMzA1YTQ0YmQ1YWVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjkyMTM0ODY@._V1_UX67_CR0,0,67,98_AL_.jpg",3619414,https://www.imdb.com/title/tt3619414/,14 min,NA,164,7.4
The Little Hours,(2017),"Comedy,Romance","In the Middle Ages, a young servant fleeing from his master takes refuge at a convent full of emotionally unstable nuns. Introduced as a deaf mute man, he must fight to hold his cover as the nuns try to resist temptation.","https://m.media-amazon.com/images/M/MV5BMzAzOTQ2NTg1OF5BMl5BanBnXkFtZTgwNTUyNzUzMjI@._V1_UX67_CR0,0,67,98_AL_.jpg",5666304,https://www.imdb.com/title/tt5666304/,90 min,18,"23,594",5.8
Run,(I) (2020),"Mystery,Thriller",A homeschooled teenager begins to suspect her mother is keeping a dark secret from her.,"https://m.media-amazon.com/images/M/MV5BZjdmZDlkMzItNTg0OS00MjAxLWE0ZTQtZjdhOWM1MTJkOTc0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",8633478,https://www.imdb.com/title/tt8633478/,90 min,PG-13,"82,062",6.7
National Treasure: Book of Secrets,(2007),"Action,Adventure,Mystery",Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,"https://m.media-amazon.com/images/M/MV5BMWRiNWNlYzYtNTJmMC00M2EyLTgxZjctMDBjNzY2MmQ3ODY1XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY98_CR0,0,67,98_AL_.jpg",0465234,https://www.imdb.com/title/tt0465234/,124 min,U,"241,471",6.5
Gilmore Girls: A Year in the Life,(2016),"Comedy,Drama","Set nearly a decade after the finale of the original series, this revival follows Lorelai, Rory and Emily Gilmore through four seasons of change.","https://m.media-amazon.com/images/M/MV5BODM1OTk4MDY2M15BMl5BanBnXkFtZTgwOTEwNzczMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",5435008,https://www.imdb.com/title/tt5435008/,370 min,NA,"39,999",7.5
Rocky Balboa,(2006),"Action,Drama,Sport","Thirty years after the ring of the first bell, Rocky Balboa comes out of retirement and dons his gloves for his final fight against the reigning heavyweight champ Mason 'The Line' Dixon.","https://m.media-amazon.com/images/M/MV5BNWIyNmQyNjctYmVmMS00MGI4LWIxMmUtNjA0ODYzOTA0Yjk0L2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY98_CR2,0,67,98_AL_.jpg",0479143,https://www.imdb.com/title/tt0479143/,102 min,U,"219,063",7.1
