Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
Mr. D,(2012–2018),Comedy,Follows a teacher juggle through being a teacher and deal with his students while trying to maintain his not so cool lifestyle.,"https://m.media-amazon.com/images/M/MV5BMTQ5NTc1MTAxM15BMl5BanBnXkFtZTgwMTc4NjU2MzE@._V1_UY98_CR1,0,67,98_AL_.jpg",2128016,https://www.imdb.com/title/tt2128016/,240 min,NA,"5,544",5.9
Halston,(2021),"Biography,Drama","The story of a man who leverages his single, invented name into a worldwide fashion empire that's synonymous with luxury, sex, status, and fame, literally defining the era.","https://m.media-amazon.com/images/M/MV5BYzY0YzJjNmYtM2Y1MC00NWExLTk4NzgtMWYzMWFmMzhkNTBmXkEyXkFqcGdeQXVyODk3ODczODU@._V1_UX67_CR0,0,67,98_AL_.jpg",9569546,https://www.imdb.com/title/tt9569546/,83 min,NA,"60,787",7.7
Z,(I) (2019),"Horror,Mystery,Thriller",A family finds themselves terrorized by their eight-year-old son's imaginary friend.,"https://m.media-amazon.com/images/M/MV5BYTA5ZjkxNDgtYzdkMC00ZWY3LWExZGUtNWVhZDI1ZmI0ZTYxXkEyXkFqcGdeQXVyNTY0NzUxNA@@._V1_UY98_CR1,0,67,98_AL_.jpg",8995218,https://www.imdb.com/title/tt8995218/,99 min,NA,"9,249",8.1
Timecop,(1994),"Action,Crime,Sci-Fi","Max Walker, an officer for a security agency that regulates time travel, must fend for his life against a shady politician who's intent on changing the past to control the future.","https://m.media-amazon.com/images/M/MV5BMDliZmQ3NWQtODFlNi00MTFhLWIyYjgtYzFmN2E0NmU2MWExXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_UX67_CR0,0,67,98_AL_.jpg",0111438,https://www.imdb.com/title/tt0111438/,60 min,R,"59,048",7.3
WWE Monday Night RAW,(1993– ),"Action,Sport","The superstars of World Wrestling Entertainment's ""RAW"" brand collide each and every week on WWE Monday Night.","https://m.media-amazon.com/images/M/MV5BNjU2ZjBiZjgtMmNjZC00ZmYxLTg1MTgtNDYyMjViODI4YTVkXkEyXkFqcGdeQXVyOTQxNzM2MjY@._V1_UY98_CR1,0,67,98_AL_.jpg",0185103,https://www.imdb.com/title/tt0185103/,170 min,U,"5,980",5.9
Underground,(1995),"Comedy,Drama,Fantasy","A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate.","https://m.media-amazon.com/images/M/MV5BNzI4YTVmMWEtMWQ3MS00OGE1LWE5YjMtNjc4NWJmYjRmZTQyXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR0,0,67,98_AL_.jpg",0114787,https://www.imdb.com/title/tt0114787/,43 min,U,"2,825",6.0
For the People,(2018–2019),Drama,"Set in the Southern District of New York Federal Court, brand-new lawyers work for both the defense and the prosecution as they handle the most high-profile and high-stakes cases in the country--all as their personal lives intersect.","https://m.media-amazon.com/images/M/MV5BMTU4MzAwNDgyOV5BMl5BanBnXkFtZTgwMDEyMjE2NDM@._V1_UX67_CR0,0,67,98_AL_.jpg",6437276,https://www.imdb.com/title/tt6437276/,96 min,R,"74,810",5.4
The Front Runner,(2018),"Biography,Drama,History","Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.","https://m.media-amazon.com/images/M/MV5BNzQ1MDU2ZWUtMmYzOS00ZWExLTk4M2QtNzE5MTFkZTNmZTJhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0113071,https://www.imdb.com/title/tt0113071/,134 min,A,"70,357",6.0
First Knight,(1995),"Action,Adventure,Drama","A rich young boy finds his family the target of an inside job, and must use his cunning to save them.","https://m.media-amazon.com/images/M/MV5BOWRhMWEzMjMtYTFiYS00MTNlLWIxZTItNjEwZGQ1NDk3Y2NmXkEyXkFqcGdeQXVyODU4MjAxOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",0110989,https://www.imdb.com/title/tt0110989/,95 min,PG-13,"71,023",5.0
Ri¢hie Ri¢h,(1994),"Comedy,Family","Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation, is his relationship with one of his students. Will Bennett risk his life for a second chance?","https://m.media-amazon.com/images/M/MV5BNGY1ODNhYWItZGM0OC00ODI4LWFmM2UtODE1N2Y4NTFhMDk5XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX67_CR0,0,67,98_AL_.jpg",2039393,https://www.imdb.com/title/tt2039393/,111 min,NA,"27,208",6.3
The Gambler,(III) (2014),"Crime,Drama,Thriller",Two sisters diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.,"https://m.media-amazon.com/images/M/MV5BMDc1MmVjMDQtOGU3OS00OTJkLWJmOGQtNDMzMWRjNDAzY2Y2XkEyXkFqcGdeQXVyMTk5MzE1MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",7329656,https://www.imdb.com/title/tt7329656/,90 min,UA,"98,710",6.8
47 Meters Down: Uncaged,(2019),"Adventure,Drama,Horror",A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.,"https://m.media-amazon.com/images/M/MV5BNzFjMWM1NWUtZjZlNy00ODY1LThiNDgtZTdjZWI2ZGVkY2NiXkEyXkFqcGdeQXVyMTI1Mzg0ODA5._V1_UX67_CR0,0,67,98_AL_.jpg",0138524,https://www.imdb.com/title/tt0138524/,100 min,PG-13,158,5.6
Intolerable Cruelty,(2003),"Comedy,Crime,Romance","While other parents adore their newborn children, Mrs Wormwood is distraught to learn she is pregnant and in labor. To Mr Wormwood's confusion, she gives birth to a girl, Matilda. Despite ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BM2FlYWIwMDUtZDBiYy00ZDhiLWEyMDUtMWZmM2NmMDkyM2IyXkEyXkFqcGdeQXVyMTU0MTMxMDUw._V1_UY98_CR5,0,67,98_AL_.jpg",21302790,https://www.imdb.com/title/tt21302790/,-,PG-13,"6,025",6.6
Matilda the Musical,(2022),"Drama,Family,Musical","To embarrass his rival, a scheming senator uses nitwit Ohio teens who are invited to a Washington gathering on educational failure.","https://m.media-amazon.com/images/M/MV5BMzNjNDA3MjEtZDMzZi00YTIzLWE5MzYtYzg1NDE3MjNjMmY4XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX67_CR0,0,67,98_AL_.jpg",0113936,https://www.imdb.com/title/tt0113936/,91 min,UA 13+,"86,852",7.0
Senior Trip,(1995),"Adventure,Comedy","Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.","https://m.media-amazon.com/images/M/MV5BMTc5Mzg3NjI4OF5BMl5BanBnXkFtZTgwNzA3Mzg4MDI@._V1_UX67_CR0,0,67,98_AL_.jpg",2568862,https://www.imdb.com/title/tt2568862/,96 min,Not Rated,"9,853",8.2
Going in Style,(2017),"Comedy,Crime","Ten fisherman from Cornwall are signed by Universal Records and achieve a top ten hit with their debut album, ""Sea Shanties.""","https://m.media-amazon.com/images/M/MV5BNDljZmIxOWQtYmFiZS00ODE4LTg1ODgtMmFlOTlkOTZmMTdiXkEyXkFqcGdeQXVyMjkyNzYwMw@@._V1_UX67_CR0,0,67,98_AL_.jpg",1648186,https://www.imdb.com/title/tt1648186/,112 min,18+,"32,433",8.5
Fisherman's Friends,(2019),"Comedy,Drama,Music","A prequel to Star Trek: The Original Series, the show will follow the crew of the USS Enterprise under Captain Christopher Pike.","https://m.media-amazon.com/images/M/MV5BYWNlYmZkZjQtNjU5OS00YTNkLWJmOTEtYmZiMmUwZGI3NTM3XkEyXkFqcGdeQXVyMTM2NTIwMDIw._V1_UX67_CR0,0,67,98_AL_.jpg",12327578,https://www.imdb.com/title/tt12327578/,52 min,UA,"124,002",8.3
Star Trek: Strange New Worlds,(2022– ),"Action,Adventure,Sci-Fi","After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.","https://m.media-amazon.com/images/M/MV5BNWQ1ZmM3MTQtNTVhZC00MWVlLWI5ZjgtYmZiYWQxZjUzZWM0XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UX67_CR0,0,67,98_AL_.jpg",3526078,https://www.imdb.com/title/tt3526078/,22 min,15+,"540,070",7.9
Schitt's Creek,(2015–2020),Comedy,"Due to a political conspiracy, an innocent man is sent to death row and his only hope is his brother, who makes it his mission to deliberately get himself sent to the same prison in order to break the both of them out, from the inside.","https://m.media-amazon.com/images/M/MV5BMTg3NTkwNzAxOF5BMl5BanBnXkFtZTcwMjM1NjI5MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",0455275,https://www.imdb.com/title/tt0455275/,44 min,R,"17,401",7.9
Prison Break,(2005–2017),"Action,Crime,Drama",War veteran turned private detective Cormoran Strike solves brutal murders with the help of his trusted partner Robin Ellacott.,"https://m.media-amazon.com/images/M/MV5BOTA2MDUxMTgtY2RhMC00NWViLWIwMmEtYzYzYTc1YTM4NDVjXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX67_CR0,0,67,98_AL_.jpg",4276618,https://www.imdb.com/title/tt4276618/,60 min,UA 16+,"433,932",7.6
Strike,(2017– ),"Crime,Drama,Mystery","Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","https://m.media-amazon.com/images/M/MV5BMTUwOGFiM2QtOWMxYS00MjU2LThmZDMtZDM2MWMzNzllNjdhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0780536,https://www.imdb.com/title/tt0780536/,107 min,16,"39,590",8.4
In Bruges,(2008),"Comedy,Crime,Drama","A retired CIA agent is hunted by both the agency he once worked for and his own nightmares, when an unknown man suddenly visits him after nearly three decades.","https://m.media-amazon.com/images/M/MV5BZjI3NDhlNjUtYzdlNi00MDc1LTg0NjktODE5NmViM2VjZGM0XkEyXkFqcGdeQXVyNzc2NTk0MjQ@._V1_UY98_CR5,0,67,98_AL_.jpg",5645432,https://www.imdb.com/title/tt5645432/,61 min,18,"64,652",7.0
The Old Man,(2022– ),"Action,Drama,Thriller",A superhero-loving boy without any powers is determined to enroll in a prestigious hero academy and learn what it really means to be a hero.,"https://m.media-amazon.com/images/M/MV5BMjRlNTgwMWItYTAxMS00ODQ2LTlhOTMtOWRjMjlhYTQxNjlkXkEyXkFqcGdeQXVyMTMzNDExODE5._V1_UY98_CR1,0,67,98_AL_.jpg",5626028,https://www.imdb.com/title/tt5626028/,24 min,NA,"411,400",7.5
Boku no hîrô akademia,(2016– ),"Animation,Action,Adventure",Four teenage boys enter a pact to lose their virginity by prom night.,"https://m.media-amazon.com/images/M/MV5BMTg3ODY5ODI1NF5BMl5BanBnXkFtZTgwMTkxNTYxMTE@._V1_UX67_CR0,0,67,98_AL_.jpg",0163651,https://www.imdb.com/title/tt0163651/,95 min,15+,"6,936",8.8
American Pie,(1999),Comedy,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City.","https://m.media-amazon.com/images/M/MV5BNjJiZjcwZGUtMDQ2ZS00NzRlLTk3OWQtMWE3MDE1NGI3NDVlXkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_UX67_CR0,0,67,98_AL_.jpg",12887536,https://www.imdb.com/title/tt12887536/,60 min,UA,"130,689",8.2
CSI: Vegas,(2021– ),"Crime,Drama,Mystery",The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,"https://m.media-amazon.com/images/M/MV5BMzE3ZDA4OWItOGY2ZC00MzVmLTk0Y2QtNzEzMjc5YWI5ZWFiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",0264235,https://www.imdb.com/title/tt0264235/,28 min,NA,"994,078",5.1
Curb Your Enthusiasm,(2000– ),Comedy,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_UX67_CR0,0,67,98_AL_.jpg",0107290,https://www.imdb.com/title/tt0107290/,127 min,18,421,7.9
Jurassic Park,(1993),"Action,Adventure,Sci-Fi","Criminology student Chloe fakes her own death to break into a morgue, in order to retrieve a piece of evidence that ties her younger brother to a crime gone wrong. Once inside, she quickly ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BMjM2MTQwZWYtOWQyMy00ODg1LTk0YjAtMDE0ZGE2Mzk0NDQ5XkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_UX67_CR0,0,67,98_AL_.jpg",20198774,https://www.imdb.com/title/tt20198774/,106 min,18,"26,364",6.6
Play Dead,(2022),"Horror,Thriller",Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.,"https://m.media-amazon.com/images/M/MV5BODIyNGU3OGMtNzBiYi00YTA4LTkzNjItYzBjZDgwMDUyMDg1XkEyXkFqcGdeQXVyOTkzODAxNTE@._V1_UY98_CR5,0,67,98_AL_.jpg",9244578,https://www.imdb.com/title/tt9244578/,44 min,A,"22,858",8.3
Rise of Empires: Ottoman,(2020–2022),"Documentary,Drama,History","A prisoner on death row in the US and a woman trapped in a cellar under an English vicarage, cross paths in the most unexpected way.","https://m.media-amazon.com/images/M/MV5BZWUzMjY0NmYtZGM4MC00ODA2LTk3NDktOTI2NzBmZjZkODIwXkEyXkFqcGdeQXVyMTUzOTcyODA5._V1_UX67_CR0,0,67,98_AL_.jpg",10948716,https://www.imdb.com/title/tt10948716/,240 min,18+,"100,458",8.8
Inside Man,(II) (2022),"Crime,Drama,Mystery","Three years after the disappearance of 2% of the global human population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.","https://m.media-amazon.com/images/M/MV5BNTE3MDc1MjY4NV5BMl5BanBnXkFtZTgwMDg4MjQ4MTE@._V1_UX67_CR0,0,67,98_AL_.jpg",2699128,https://www.imdb.com/title/tt2699128/,60 min,UA,"160,875",6.3
The Leftovers,(2014–2017),"Drama,Fantasy,Mystery","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","https://m.media-amazon.com/images/M/MV5BYWQwMDNkM2MtODU4OS00OTY3LTgwOTItNjE2Yzc0MzRkMDllXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",3398228,https://www.imdb.com/title/tt3398228/,25 min,A,"214,748",6.9
BoJack Horseman,(2014–2020),"Animation,Comedy,Drama","Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.","https://m.media-amazon.com/images/M/MV5BMWEwNjhkYzYtNjgzYy00YTY2LThjYWYtYzViMGJkZTI4Y2MyXkEyXkFqcGdeQXVyNTM0OTY1OQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1464335,https://www.imdb.com/title/tt1464335/,116 min,A,941,6.6
Uncharted,(2022),"Action,Adventure",Follows a family father who lives a not-so-secret identity as the titular hero who possesses a burning passion to snuff out petty crime.,"https://m.media-amazon.com/images/M/MV5BZDE2NThiNzYtZjJkZi00NmZiLWJjMjgtZmZkYzQ3Yzc5YjRkXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UX67_CR0,0,67,98_AL_.jpg",14307470,https://www.imdb.com/title/tt14307470/,25 min,A,"14,560",7.0
Koala Man,(2023– ),"Animation,Action,Adventure",An unhappily married aristocrat begins a torrid affair with the gamekeeper on her husband's country estate.,"https://m.media-amazon.com/images/M/MV5BMGQwYjY1YWUtN2FjMS00MzYxLWEyNDYtYzdlZWJhZTI5M2NhXkEyXkFqcGdeQXVyMTQ4NjQyMzE@._V1_UX67_CR0,0,67,98_AL_.jpg",14369780,https://www.imdb.com/title/tt14369780/,126 min,A,"12,987",6.6
Lady Chatterley's Lover,(2022),"Drama,Romance",A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.,"https://m.media-amazon.com/images/M/MV5BNjBmZmI0ZDktODI2MS00MDU1LTk0NDYtNGE0MDc0OWVkYzcwXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UX67_CR0,0,67,98_AL_.jpg",1843230,https://www.imdb.com/title/tt1843230/,60 min,NA,"133,621",6.7
Once Upon a Time,(2011–2018),"Adventure,Fantasy,Romance","A young man from Harlem, forced to cope with the 1980s drug scene, builds an illegal empire, only to have a crisis of conscience.","https://m.media-amazon.com/images/M/MV5BZWU5YmRhODYtM2Y2Ny00NTUzLWEwZGUtYzYyMjQwZmIwYTgxXkEyXkFqcGdeQXVyMTczNjQwOTY@._V1_UX67_CR0,0,67,98_AL_.jpg",0259484,https://www.imdb.com/title/tt0259484/,97 min,NA,"2,124",6.0
Paid in Full,(2002),"Action,Crime,Drama",Four friends take a break from their day-to-day lives to throw a bachelor party in Las Vegas for their last remaining single pal.,"https://m.media-amazon.com/images/M/MV5BMTQ2ODg2MTIyNF5BMl5BanBnXkFtZTgwMzU2NjgwMDE@._V1_UX67_CR0,0,67,98_AL_.jpg",1204975,https://www.imdb.com/title/tt1204975/,105 min,NA,605,6.3
Last Vegas,(2013),"Comedy,Drama","Gunther Wheeler, fourteen, a tough guy from New York City, moves to a small town called Pleasant Valley. Gunther isn't making very many friends in his new town. Until he meets Allison ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BMjE3OTAyNjI0NF5BMl5BanBnXkFtZTcwMDEwMjgxMQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",0117287,https://www.imdb.com/title/tt0117287/,90 min,R,"12,038",7.0
The Paper Brigade,(1996– ),"Adventure,Comedy,Drama","This is the story of Mei, a young woman on a trip from East to West after her escape from her provincial Chinese village. Beginning in Chongqing and a disastrous factory job, Mei soon heads...                See full summary »
","https://m.media-amazon.com/images/M/MV5BMTgwNTMwNDA2Nl5BMl5BanBnXkFtZTcwODcyNjIwNA@@._V1_UY98_CR3,0,67,98_AL_.jpg",1389374,https://www.imdb.com/title/tt1389374/,103 min,U,"23,967",7.0
"She, a Chinese",(2009),Drama,"Mal, Evie, Carlos and Jay try to adjust to life in Auradon, but Mal becomes overwhelmed with pressure and returns to her roots.","https://m.media-amazon.com/images/M/MV5BMjI5MTA4MTk2N15BMl5BanBnXkFtZTgwNjY2NDUwMjI@._V1_UX67_CR0,0,67,98_AL_.jpg",5117876,https://www.imdb.com/title/tt5117876/,111 min,R,"39,662",6.4
Descendants 2,(2017 TV Movie),"Action,Adventure,Family",A devious sexpot steals her husband's drug money and hides out in a small town where she meets the perfect dupe for her next scheme.,"https://m.media-amazon.com/images/M/MV5BZmYwYWRhY2MtNTU3NS00M2E0LWI5YjUtY2M1NGJkM2Y4NTdmXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",0110308,https://www.imdb.com/title/tt0110308/,110 min,R,"49,134",6.6
The Last Seduction,(1994),"Crime,Drama,Romance",Three teenagers must help a Yeti return to his family while avoiding a wealthy man and a zoologist who want him for their own needs.,"https://m.media-amazon.com/images/M/MV5BNGNjNjY1NjYtNmYxNC00OGYxLWFiMDgtZTdjN2EzYTdkYzU3XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_UX67_CR0,0,67,98_AL_.jpg",6324278,https://www.imdb.com/title/tt6324278/,97 min,16+,"39,483",7.7
Abominable,(2019),"Animation,Adventure,Comedy","Set during the time of the first outbreak of bubonic plague in England, a young monk is given the task of learning the truth about reports of people being brought back to life in a small village.","https://m.media-amazon.com/images/M/MV5BMTkxNjEwNjY3NV5BMl5BanBnXkFtZTcwMTY1NTUyNA@@._V1_UX67_CR0,0,67,98_AL_.jpg",1181791,https://www.imdb.com/title/tt1181791/,102 min,16,"226,696",7.4
Black Death,(2010),"Action,Drama,Horror","Although anticipated, no one is really ready when the mountain pass above the scenic, narrow Norwegian fjord Geiranger collapses and creates an 85-meter high violent tsunami. A geologist is one of those caught in the middle of it.","https://m.media-amazon.com/images/M/MV5BMTg5Mjg0MjgxMl5BMl5BanBnXkFtZTgwNjUzNDg0NzE@._V1_UX67_CR0,0,67,98_AL_.jpg",3616916,https://www.imdb.com/title/tt3616916/,105 min,NA,"74,517",8.6
Bølgen,(2015),"Action,Drama,Thriller","When Steve McGarrett returns home to Oahu to find his father's killer, the Governor offers him the chance to run his own task force: Five-0.","https://m.media-amazon.com/images/M/MV5BOGMxNDUxMzMtNTgwZS00ZjVlLTkyNmUtNGEzYzQ0YjY3OTAxXkEyXkFqcGdeQXVyMTYzMDM0NTU@._V1_UX67_CR0,0,67,98_AL_.jpg",1600194,https://www.imdb.com/title/tt1600194/,42 min,U,"102,093",7.6
Linoleum,(2022),"Comedy,Drama,Sci-Fi","U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.","https://m.media-amazon.com/images/M/MV5BNzRjNGVhNDMtODI0ZS00NGNhLWE2MTctMGRkMzdhZmQ1YWY4XkEyXkFqcGdeQXVyNDIzMzcwNjc@._V1_UX67_CR0,0,67,98_AL_.jpg",1489428,https://www.imdb.com/title/tt1489428/,44 min,A,"186,721",7.7
Hawaii Five-0,(2010–2020),"Action,Crime,Drama",The adventures of high school and junior high students on the last day of school in May 1976.,"https://m.media-amazon.com/images/M/MV5BMTM5MDY5MDQyOV5BMl5BanBnXkFtZTgwMzM3NzMxMDE@._V1_UX67_CR0,0,67,98_AL_.jpg",0106677,https://www.imdb.com/title/tt0106677/,103 min,A,"271,261",7.9
Justified,(2010–2015),"Action,Crime,Drama","A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.","https://m.media-amazon.com/images/M/MV5BZjk5NjA1ZjgtMGEzYy00YjBhLTlhMWUtODVlMmE2NmJlZDU4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",0257044,https://www.imdb.com/title/tt0257044/,117 min,U,"92,277",5.8
Dazed and Confused,(1993),Comedy,A former Navy SEAL officer investigates why his entire platoon was ambushed during a high-stakes covert mission.,"https://m.media-amazon.com/images/M/MV5BNmNkYmZjZDMtNjVmZC00OWVkLWI1MzEtYjI0ZDc2MjExYWY2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY98_CR5,0,67,98_AL_.jpg",11743610,https://www.imdb.com/title/tt11743610/,55 min,U,"41,847",8.2
Road to Perdition,(2002),"Crime,Drama,Thriller","When they find a frozen caveman in their back yard, two high school outcasts thaw him and introduce him to modern life while he in turn gets them to actually enjoy life.","https://m.media-amazon.com/images/M/MV5BZjc5OGIzYTUtYjFkYy00NDcxLTgwMzUtNzRlMTJmZjZkZDQ4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX67_CR0,0,67,98_AL_.jpg",0104187,https://www.imdb.com/title/tt0104187/,88 min,NA,"83,023",7.6
The Terminal List,(2022– ),"Action,Drama,Thriller",Bob Belcher runs his dream restaurant with his wife and three children as their last hope of holding the family together.,"https://m.media-amazon.com/images/M/MV5BZGJiNmM1NDctNWUxYS00YzE4LWJjNTgtYTJhYzE0NjFmMTMwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",1561755,https://www.imdb.com/title/tt1561755/,22 min,NA,132,5.0
Encino Man,(1992),Comedy,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,"https://m.media-amazon.com/images/M/MV5BMmE1ODVhMGYtODYyYS00Mjc4LWIzN2EtYWZkZDg1MTUyNDkxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",6741278,https://www.imdb.com/title/tt6741278/,50 min,NA,155,6.3
Bob's Burgers,(2011– ),"Animation,Comedy","When the host of a failing children's science show tries to fulfill his childhood dream of becoming an astronaut by building a rocket ship in his garage, a series of bizarre events occur that cause him to question his own reality.","https://m.media-amazon.com/images/M/MV5BMDY4NmYxODMtMzNhMi00M2YxLTgwNDEtYjA2OTQ1YTEzYjYxXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UX67_CR0,0,67,98_AL_.jpg",13483866,https://www.imdb.com/title/tt13483866/,101 min,A,"14,579",6.6
Invincible,(2021– ),"Animation,Action,Adventure","The remaining survivors are coerced to take a New Year's Eve redemption ride on the very same train, where a new evil awaits and the terrified passengers must once again fight to survive the ride.","https://m.media-amazon.com/images/M/MV5BZjhmNWYzM2QtZjM3Mi00YWI0LThhZGQtMGY2MzM5YWIzODk4XkEyXkFqcGdeQXVyNDgyNzAxMzY@._V1_UX67_CR0,0,67,98_AL_.jpg",23854314,https://www.imdb.com/title/tt23854314/,88 min,PG-13,"151,391",7.1
Terror Train 2,(2022),"Horror,Mystery","A woman's consuming love forces her to bear the clone of her dead beloved. From his infancy to manhood, she faces the unavoidable complexities of her controversial decision.","https://m.media-amazon.com/images/M/MV5BZmZiOWUyZmItOWFmYS00MWEwLTgwNGMtNzkwZDM0MDIyODc1XkEyXkFqcGdeQXVyNTg4NDg5Nzg@._V1_UY98_CR1,0,67,98_AL_.jpg",1216520,https://www.imdb.com/title/tt1216520/,111 min,NA,"23,211",5.3
Womb,(2010),"Drama,Romance,Sci-Fi",The attempted assassination of the American President is told and re-told from several different perspectives.,"https://m.media-amazon.com/images/M/MV5BMTI3MjI1NjMzNV5BMl5BanBnXkFtZTYwNDc4Njk3._V1_UX67_CR0,0,67,98_AL_.jpg",0443274,https://www.imdb.com/title/tt0443274/,90 min,U,"6,269",5.1
Vantage Point,(2008),"Action,Crime,Drama","The inspiring true love story of Robin (Andrew Garfield) and Diana Cavendish (Claire Foy), an adventurous couple who refuse to give up in the face of a devastating disease. Their heartwarming celebration of human possibility marks the directorial debut of Andy Serkis.","https://m.media-amazon.com/images/M/MV5BMTg1OTcxNjU1MV5BMl5BanBnXkFtZTgwMzcwMTQ3MzI@._V1_UX67_CR0,0,67,98_AL_.jpg",5716464,https://www.imdb.com/title/tt5716464/,118 min,18,"50,567",8.7
Breathe,(I) (2017),"Biography,Drama,Romance",Keira Woods' daughter mysteriously vanishes in the cellar of their new house. She soon discovers there is an ancient and powerful entity controlling their home that she will have to face or risk losing her family's souls forever.,"https://m.media-amazon.com/images/M/MV5BMzdmM2JiNWQtYjE0ZS00NmMxLThiMTItNzUxNzQ5NjJjZDI2XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UX67_CR0,0,67,98_AL_.jpg",14550642,https://www.imdb.com/title/tt14550642/,94 min,A,"141,169",6.2
The Cellar,(2022),Horror,"A realtor and his wife and children are summoned to a mansion, which they soon discover is haunted, and while they attempt to escape, he learns an important lesson about the family he has neglected.","https://m.media-amazon.com/images/M/MV5BOWNkNzNlYWItNjIwOC00NzNlLTkxY2MtOWQyMTdmYTAzNGY5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_UX67_CR0,0,67,98_AL_.jpg",0338094,https://www.imdb.com/title/tt0338094/,99 min,UA,"143,587",8.3
